# MAPbBr3 S2, dark   params: examples/MAPbBr3_S2.params
# ALTERNATIVE reading: modelled J sampled at the measured voltages,
# log-log interpolation of the model curve; nan outside its V range.
# Row-for-row comparable with the measurement.
V(V)	J_meas(A/m2)	J_model(A/m2)
1.835128e+00	2.968351e-04	5.163330e-06
1.849190e+00	4.094642e-04	5.231101e-06
1.863252e+00	3.521352e-03	5.299238e-06
1.877314e+00	3.052964e-03	5.367741e-06
1.891377e+00	1.220584e-03	5.436608e-06
1.905439e+00	1.608921e-03	5.508344e-06
1.919501e+00	4.565990e-03	5.581253e-06
1.933564e+00	3.986259e-03	5.654583e-06
1.947626e+00	1.705035e-03	5.728336e-06
1.961688e+00	2.158127e-03	5.802509e-06
1.975750e+00	6.138373e-03	5.877103e-06
1.989813e+00	4.982014e-03	5.952116e-06
2.003875e+00	2.016420e-03	6.027548e-06
2.017937e+00	2.594275e-03	6.103399e-06
2.032000e+00	7.298632e-03	6.179668e-06
2.046062e+00	6.277308e-03	6.258720e-06
2.060124e+00	2.692394e-03	6.339773e-06
2.074186e+00	3.637695e-03	6.421314e-06
2.088249e+00	9.148949e-03	6.503342e-06
2.102311e+00	7.683902e-03	6.585856e-06
2.116373e+00	3.448205e-03	6.668857e-06
2.130435e+00	5.152079e-03	6.752344e-06
2.144498e+00	1.065312e-02	6.836317e-06
2.158560e+00	9.121666e-03	6.920775e-06
2.172622e+00	4.417460e-03	7.005717e-06
2.186685e+00	6.084348e-03	7.094438e-06
2.200747e+00	1.274984e-02	7.184535e-06
2.214809e+00	1.067678e-02	7.275191e-06
2.228871e+00	5.451772e-03	7.366407e-06
2.242921e+00	7.259090e-03	7.458098e-06
2.256949e+00	1.423473e-02	7.550207e-06
2.271011e+00	1.277703e-02	7.643097e-06
2.285074e+00	6.951914e-03	7.736547e-06
2.299136e+00	8.576504e-03	7.830555e-06
2.313198e+00	1.498676e-02	7.926667e-06
2.327261e+00	1.303003e-02	8.026414e-06
2.341323e+00	7.466866e-03	8.126804e-06
2.355385e+00	9.471970e-03	8.227837e-06
2.369447e+00	1.685394e-02	8.329514e-06
2.383510e+00	1.549782e-02	8.431834e-06
2.397572e+00	8.494738e-03	8.534798e-06
2.411634e+00	1.000440e-02	8.638407e-06
2.425696e+00	1.830532e-02	8.742660e-06
2.439759e+00	1.764245e-02	8.848701e-06
2.453821e+00	9.525169e-03	8.959367e-06
2.467883e+00	1.036223e-02	9.070773e-06
2.481946e+00	1.840057e-02	9.182919e-06
2.496008e+00	1.656510e-02	9.295806e-06
2.510070e+00	1.013394e-02	9.409435e-06
2.524132e+00	1.185009e-02	9.523807e-06
2.538195e+00	1.885016e-02	9.638922e-06
2.552257e+00	1.915321e-02	9.754781e-06
2.566319e+00	1.124257e-02	9.873982e-06
2.580369e+00	1.231782e-02	9.997018e-06
2.594397e+00	2.028547e-02	1.012071e-05
2.608459e+00	2.015639e-02	1.024556e-05
2.622522e+00	1.109777e-02	1.037126e-05
2.636584e+00	1.254570e-02	1.049783e-05
2.650646e+00	1.943703e-02	1.062525e-05
2.664708e+00	2.024244e-02	1.075353e-05
2.678771e+00	1.135470e-02	1.088278e-05
2.692833e+00	1.172429e-02	1.101926e-05
2.706895e+00	1.967936e-02	1.115674e-05
2.720957e+00	2.023405e-02	1.129520e-05
2.735020e+00	1.143343e-02	1.143466e-05
2.749082e+00	1.180963e-02	1.157511e-05
2.763144e+00	1.900544e-02	1.171655e-05
2.777207e+00	1.966683e-02	1.185899e-05
2.791269e+00	1.055156e-02	1.200243e-05
2.805331e+00	1.095299e-02	1.215320e-05
2.819393e+00	1.882316e-02	1.230572e-05
2.833456e+00	1.987753e-02	1.245939e-05
2.847518e+00	1.093669e-02	1.261420e-05
2.861580e+00	1.134103e-02	1.277015e-05
2.875643e+00	1.821645e-02	1.292726e-05
2.889705e+00	1.926493e-02	1.308551e-05
2.903767e+00	1.087790e-02	1.324594e-05
2.917829e+00	1.131505e-02	1.341453e-05
2.931892e+00	1.754376e-02	1.358443e-05
2.945954e+00	1.972869e-02	1.375566e-05
2.960016e+00	1.153088e-02	1.392822e-05
2.974079e+00	1.180268e-02	1.410210e-05
2.988141e+00	1.767569e-02	1.427733e-05
2.997563e+00	2.015339e-02	1.439547e-05
