U(V),I(A)
1.9597073881e+00,5.0717594460e-08
1.9737478881e+00,5.3018055609e-08
1.9877883881e+00,5.5727411553e-08
2.0018288881e+00,6.0159479868e-08
2.0158693881e+00,6.4909308234e-08
2.0299098881e+00,6.9559149385e-08
2.0439503881e+00,7.4174738347e-08
2.0579908881e+00,7.9061813634e-08
2.0720313881e+00,8.3398162257e-08
2.0860718881e+00,8.7888890733e-08
2.1001123881e+00,9.2835390454e-08
2.1141528881e+00,9.8783022761e-08
2.1281933881e+00,1.0506850223e-07
2.1422338881e+00,1.1053423492e-07
2.1562743881e+00,1.1511339016e-07
2.1703148881e+00,1.1985066830e-07
2.1843553881e+00,1.2658845975e-07
2.1983958881e+00,1.3437735635e-07
2.2124363881e+00,1.4259128284e-07
2.2264768881e+00,1.4993174023e-07
2.2405173881e+00,1.5743406354e-07
2.2545578881e+00,1.6526396708e-07
2.2685983881e+00,1.7510767478e-07
2.2826388881e+00,1.8547148742e-07
2.2966793881e+00,1.9627180910e-07
2.3107198881e+00,2.0578648258e-07
2.3247603881e+00,2.1570053343e-07
2.3388008881e+00,2.2577398998e-07
2.3528413881e+00,2.3215937680e-07
2.3668818881e+00,2.3868574652e-07
2.3809223881e+00,2.4538912460e-07
2.3949628881e+00,2.5685554047e-07
2.4090033881e+00,2.6878599059e-07
2.4230438881e+00,2.8119638417e-07
2.4370843881e+00,2.9410157498e-07
2.4511248881e+00,3.0751957820e-07
2.4651653881e+00,3.2146783155e-07
2.4792058881e+00,3.2951166710e-07
2.4932463881e+00,3.3534406658e-07
2.5072868881e+00,3.4124607636e-07
2.5213273881e+00,3.5340794774e-07
2.5353678881e+00,3.7217921838e-07
2.5494083881e+00,3.9183551984e-07
2.5634488881e+00,4.1002791106e-07
2.5774893881e+00,4.2059796908e-07
2.5915298881e+00,4.3138085959e-07
2.6055703881e+00,4.4237968008e-07
2.6196108881e+00,4.5359882852e-07
2.6336513881e+00,4.6504041373e-07
2.6476918881e+00,4.7670745588e-07
2.6617323881e+00,4.8860243471e-07
2.6757728881e+00,5.0072847988e-07
2.6898133881e+00,5.1308963338e-07
2.7038538881e+00,5.2574603742e-07
2.7178943881e+00,5.4294115677e-07
2.7319348881e+00,5.6060569104e-07
2.7459753881e+00,5.7874994325e-07
2.7600158881e+00,5.9510243936e-07
2.7740563881e+00,6.0934076315e-07
2.7880968881e+00,6.2384527805e-07
2.8021373881e+00,6.3861958245e-07
2.8161778881e+00,6.4028385199e-07
2.8302183881e+00,6.4028385199e-07
2.8442588881e+00,6.4028385199e-07
2.8582993881e+00,6.4363622785e-07
2.8723398881e+00,6.5850148801e-07
2.8863803881e+00,6.7363506549e-07
2.9004208881e+00,6.8904046282e-07
2.9144613881e+00,7.0208720672e-07
2.9285018881e+00,7.1264894783e-07
2.9425423881e+00,7.2331791438e-07
2.9565828881e+00,7.3409467551e-07
2.9706233881e+00,7.4113187689e-07
2.9846638881e+00,7.4657979195e-07
2.9987043881e+00,7.5204190353e-07
