U(V),I(A)
1.9607628462e+00,5.9644030632e-07
1.9748033462e+00,6.1796296464e-07
1.9888438462e+00,6.4010149166e-07
2.0028843462e+00,6.6751630406e-07
2.0169248462e+00,6.9711254950e-07
2.0309653462e+00,7.2652191216e-07
2.0450058462e+00,7.5181995530e-07
2.0590463462e+00,7.7781670917e-07
2.0730868462e+00,8.0452650908e-07
2.0871273462e+00,8.3196388400e-07
2.1011678462e+00,8.6014355789e-07
2.1152083462e+00,8.8908045095e-07
2.1292488462e+00,9.1878968091e-07
2.1432893462e+00,9.4928656430e-07
2.1573298462e+00,9.8058661776e-07
2.1713703462e+00,1.0127055592e-06
2.1854108462e+00,1.0456593094e-06
2.1994513462e+00,1.0794639927e-06
2.2134918462e+00,1.1141359389e-06
2.2275323462e+00,1.1496916842e-06
2.2415728462e+00,1.1861479725e-06
2.2556133462e+00,1.2235217568e-06
2.2696538462e+00,1.2618302003e-06
2.2836943462e+00,1.3010906778e-06
2.2977348462e+00,1.3413207770e-06
2.3117753462e+00,1.3756729992e-06
2.3258158462e+00,1.4070641860e-06
2.3398563462e+00,1.4389762619e-06
2.3538968462e+00,1.4858638122e-06
2.3679373462e+00,1.5417671808e-06
2.3819778462e+00,1.5994245639e-06
2.3960183462e+00,1.6443588062e-06
2.4100588462e+00,1.6805512865e-06
2.4240993462e+00,1.7173231668e-06
2.4381398462e+00,1.7546802860e-06
2.4521803462e+00,1.7926285075e-06
2.4662208462e+00,1.8311737194e-06
2.4802613462e+00,1.8703218345e-06
2.4943018462e+00,1.9100787898e-06
2.5083423462e+00,1.9504505468e-06
2.5223828462e+00,1.9914430917e-06
2.5364233462e+00,2.0330624347e-06
2.5504638462e+00,2.0753146106e-06
2.5645043462e+00,2.1182056784e-06
2.5785448462e+00,2.1617417215e-06
2.5925853462e+00,2.2059288473e-06
2.6066258462e+00,2.2507731876e-06
2.6206663462e+00,2.2962808983e-06
2.6347068462e+00,2.3424581594e-06
2.6487473462e+00,2.3893111750e-06
2.6627878462e+00,2.4358736989e-06
2.6768283462e+00,2.4679046220e-06
2.6908688462e+00,2.5001858621e-06
2.7049093462e+00,2.5327180539e-06
2.7189498462e+00,2.5655018306e-06
2.7329903462e+00,2.5985378234e-06
2.7470308462e+00,2.6318266621e-06
2.7610713462e+00,2.6653689747e-06
2.7751118462e+00,2.6991653876e-06
2.7891523462e+00,2.7332165254e-06
2.8031928462e+00,2.7675230113e-06
2.8172333462e+00,2.7780558579e-06
2.8312738462e+00,2.7609548433e-06
2.8453143462e+00,2.7440429152e-06
2.8593548462e+00,2.7273170653e-06
2.8733953462e+00,2.6976084318e-06
2.8874358462e+00,2.6651407165e-06
2.9014763462e+00,2.6332184388e-06
2.9155168462e+00,2.6051482086e-06
2.9295573462e+00,2.6207399087e-06
2.9435978462e+00,2.6363497074e-06
2.9576383462e+00,2.6519775391e-06
2.9716788462e+00,2.6633477342e-06
2.9857193462e+00,2.6633477342e-06
2.9997598462e+00,2.6633477342e-06
