row,E_F,p_f_source,p_f_python,p_f_difference,p_t_source,p_t_python,p_t_difference,n_f_source,n_f_python,n_f_difference,n_t_source,n_t_python,n_t_difference
1.900000000000000000e+01,-8.970000000000000639e+00,4.758219772311349702e+27,4.759296353552925709e+27,1.076581241576007773e+24,4.758219772323005624e+27,4.759296353564587679e+27,1.076581241582055087e+24,3.585624705523560301e-32,3.586144680727983516e-32,5.199752044232152218e-36,-4.758219772323009473e+27,-4.759296353564588779e+27,-1.076581241579306308e+24
2.000000000000000000e+01,-8.967000000000000526e+00,4.753404395752736789e+27,4.754480364901397451e+27,1.075969148660661698e+24,4.753404395764390513e+27,4.754480364913059971e+27,1.075969148669457791e+24,3.814283241073878691e-32,3.814780422011356547e-32,4.971809374778561243e-36,-4.753404395764398760e+27,-4.754480364913060521e+27,-1.075969148661761210e+24
2.100000000000000000e+01,-8.964000000000000412e+00,4.748460978457213049e+27,4.749536321684259335e+27,1.075343227046285841e+24,4.748460978468876118e+27,4.749536321695921305e+27,1.075343227045186330e+24,4.049080825304444143e-32,4.049554474446862496e-32,4.736491424183523625e-36,-4.748460978468874469e+27,-4.749536321695922954e+27,-1.075343227048484865e+24
2.200000000000000000e+01,-8.961000000000000298e+00,4.743397868318537178e+27,4.744472567591239521e+27,1.074699272702342644e+24,4.743397868330190902e+27,4.744472567602902041e+27,1.074699272711138737e+24,4.289626541726748445e-32,4.290076209365265913e-32,4.496676385174679529e-36,-4.743397868330199149e+27,-4.744472567602902591e+27,-1.074699272703442155e+24
2.300000000000000000e+01,-8.958000000000000185e+00,4.738223390052220155e+27,4.739297423604024597e+27,1.074033551804442167e+24,4.738223390063879926e+27,4.739297423615687117e+27,1.074033551807190946e+24,4.535530396458624121e-32,4.535955898411628913e-32,4.255019530047917162e-36,-4.738223390063882125e+27,-4.739297423615687667e+27,-1.074033551805541679e+24
2.400000000000000000e+01,-8.955000000000000071e+00,4.732945743493347837e+27,4.734019086348678429e+27,1.073342855330591968e+24,4.732945743504990565e+27,4.734019086360340949e+27,1.073342855350383177e+24,4.786408114469446049e-32,4.786809506111316087e-32,4.013916418700380384e-36,-4.732945743505006508e+27,-4.734019086360341498e+27,-1.073342855334990015e+24
2.500000000000000000e+01,-8.951999999999999957e+00,4.727572918044748339e+27,4.728645542571265990e+27,1.072624526517651712e+24,4.727572918056394366e+27,4.728645542582927960e+27,1.072624526533594630e+24,5.041885176338125909e-32,5.042262724400732334e-32,3.775480626064247401e-36,-4.727572918056404811e+27,-4.728645542582929610e+27,-1.072624526524798537e+24
2.600000000000000000e+01,-8.948999999999999844e+00,4.722112623306988691e+27,4.723184499771630145e+27,1.071876464641454148e+24,4.722112623318649012e+27,4.723184499783292115e+27,1.071876464643103416e+24,5.301600093707365076e-32,5.301954247143662055e-32,3.541534362969787043e-36,-4.722112623318653960e+27,-4.723184499783293765e+27,-1.071876464639804881e+24
2.700000000000000000e+01,-8.945999999999999730e+00,4.716572235247014521e+27,4.717643332356249486e+27,1.071097109234964964e+24,4.716572235258674292e+27,4.717643332367912006e+27,1.071097109237713743e+24,5.565206953432319405e-32,5.565538314429240102e-32,3.313609969206977215e-36,-4.716572235258678141e+27,-4.717643332367913106e+27,-1.071097109234964964e+24
2.800000000000000000e+01,-8.942999999999999616e+00,4.710958756765444804e+27,4.712029042174715975e+27,1.070285409271170877e+24,4.710958756777100177e+27,4.712029042186377945e+27,1.070285409277767947e+24,5.832377283854514722e-32,5.832686579864317860e-32,3.092960098031371878e-36,-4.710958756777105125e+27,-4.712029042186379045e+27,-1.070285409273919656e+24
2.900000000000000000e+01,-8.939999999999999503e+00,4.705278791194443864e+27,4.706348231975789218e+27,1.069440781345353898e+24,4.705278791206092640e+27,4.706348231987451738e+27,1.069440781359097793e+24,6.102801312142506507e-32,6.103089369586024704e-32,2.880574435181976819e-36,-4.705278791206104735e+27,-4.706348231987452288e+27,-1.069440781347552921e+24
3.000000000000000000e+01,-8.936999999999999389e+00,4.699538527076910883e+27,4.700607090137778103e+27,1.068563060867220420e+24,4.699538527088570104e+27,4.700607090149440623e+27,1.068563060870518955e+24,6.376188690199440232e-32,6.376456410294988651e-32,2.677200955484189027e-36,-4.699538527088573403e+27,-4.700607090149441173e+27,-1.068563060867770175e+24
3.100000000000000000e+01,-8.933999999999999275e+00,4.693743732518236440e+27,4.694811384967792362e+27,1.067652449555922452e+24,4.693743732529900059e+27,4.694811384979454882e+27,1.067652449554822941e+24,6.652268769484227168e-32,6.652517106480507538e-32,2.483369962803706139e-36,-4.693743732529898959e+27,-4.694811384979455981e+27,-1.067652449557021964e+24
3.200000000000000000e+01,-8.930999999999999162e+00,4.687899757435452503e+27,4.688966466897433755e+27,1.066709461981252528e+24,4.687899757447111724e+27,4.688966466909096275e+27,1.066709461984551062e+24,6.930790503543897978e-32,6.931020445488344197e-32,2.299419444462185981e-36,-4.687899757447115573e+27,-4.688966466909097375e+27,-1.066709461981802283e+24
3.300000000000000000e+01,-8.928000000000000824e+00,4.682011542128822220e+27,4.683077277002080996e+27,1.065734873258776053e+24,4.682011542140479792e+27,4.683077277013743516e+27,1.065734873263723856e+24,7.211522052363789660e-32,7.211734604420354798e-32,2.125520565651380822e-36,-4.682011542140483641e+27,-4.683077277013744616e+27,-1.065734873260975077e+24
3.400000000000000000e+01,-8.925000000000000711e+00,4.676083630744209162e+27,4.677148360413685862e+27,1.064729669476700308e+24,4.676083630755865634e+27,4.677148360425348382e+27,1.064729669482747622e+24,7.494250155915127144e-32,7.494446326157263853e-32,1.961702421367090774e-36,-4.676083630755868383e+27,-4.677148360425348932e+27,-1.064729669480548598e+24
3.500000000000000000e+01,-8.922000000000000597e+00,4.670120188361692535e+27,4.671183883363650925e+27,1.063695001958389746e+24,4.670120188373352306e+27,4.671183883375313445e+27,1.063695001961138525e+24,7.778779336430302485e-32,7.778960123968466136e-32,1.807875381636516607e-36,-4.670120188373360003e+27,-4.671183883375313994e+27,-1.063695001953991699e+24
3.600000000000000000e+01,-8.919000000000000483e+00,4.664125020621628742e+27,4.665187652767510987e+27,1.062632145882245891e+24,4.664125020633286314e+27,4.665187652779173507e+27,1.062632145887193693e+24,8.064930980677135706e-32,8.065097365941207595e-32,1.663852640718887067e-36,-4.664125020633287963e+27,-4.665187652779174057e+27,-1.062632145886094182e+24
3.700000000000000000e+01,-8.916000000000000369e+00,4.658101594972325454e+27,4.659163137436139110e+27,1.061542463813655418e+24,4.658101594983991272e+27,4.659163137447801080e+27,1.061542463809807127e+24,8.352542345357331518e-32,8.352695282327338479e-32,1.529369700069605261e-36,-4.658101594983985775e+27,-4.659163137447802729e+27,-1.061542463816953953e+24
3.800000000000000000e+01,-8.913000000000000256e+00,4.652053062787208392e+27,4.653113490161063829e+27,1.060427373855436832e+24,4.652053062798874211e+27,4.653113490172725799e+27,1.060427373851588541e+24,8.641465521077910528e-32,8.641605931246893964e-32,1.404101689834356753e-36,-4.652053062798868163e+27,-4.653113490172727449e+27,-1.060427373859285122e+24
3.900000000000000000e+01,-8.910000000000000142e+00,4.645982281747184805e+27,4.647041570069787408e+27,1.059288322602603205e+24,4.645982281758847325e+27,4.647041570081449928e+27,1.059288322602603205e+24,8.931566383358429190e-32,8.931695151211233306e-32,1.287678528041158408e-36,-4.645982281758844026e+27,-4.647041570081450478e+27,-1.059288322606451495e+24
4.000000000000000000e+01,-8.907000000000000028e+00,4.639891838015769899e+27,4.640949964778195251e+27,1.058126762425352433e+24,4.639891838027440115e+27,4.640949964789857771e+27,1.058126762417655852e+24,9.222723552955831730e-32,9.222841522755232074e-32,1.179697994003433669e-36,-4.639891838027429670e+27,-4.640949964789858871e+27,-1.058126762429200724e+24
4.100000000000000000e+01,-8.903999999999999915e+00,4.633784067847708599e+27,4.634841011980508508e+27,1.056944132799909555e+24,4.633784067859369469e+27,4.634841011992171028e+27,1.056944132801558823e+24,9.514827382449410868e-32,9.514935356133854624e-32,1.079736844437562493e-36,-4.633784067859369469e+27,-4.634841011992171578e+27,-1.056944132802108579e+24
4.200000000000000000e+01,-8.900999999999999801e+00,4.627661078367821713e+27,4.628716820213086172e+27,1.055741845264458903e+24,4.627661078379491930e+27,4.628716820224748692e+27,1.055741845256762322e+24,9.807778981512423522e-32,9.807877717525622342e-32,9.873601319881926694e-37,-4.627661078379479285e+27,-4.628716820224749791e+27,-1.055741845270506217e+24
4.300000000000000000e+01,-8.897999999999999687e+00,4.621524767336327785e+27,4.622579288607951918e+27,1.054521271624133115e+24,4.621524767347983158e+27,4.622579288619613888e+27,1.054521271630730185e+24,1.010148928955119967e-31,1.010157950244148749e-31,9.021289028781860430e-37,-4.621524767347987006e+27,-4.622579288619614988e+27,-1.054521271627981406e+24
4.400000000000000000e+01,-8.894999999999999574e+00,4.615376841781722388e+27,4.616430125516616174e+27,1.053283734893786103e+24,4.615376841793384358e+27,4.616430125528278694e+27,1.053283734894335859e+24,1.039587820134339430e-31,1.039596056198889411e-31,8.236064549980837419e-37,-4.615376841793383808e+27,-4.616430125528279793e+27,-1.053283734895985127e+24
4.500000000000000000e+01,-8.891999999999999460e+00,4.609218835433842849e+27,4.610270865936551469e+27,1.052030502708619868e+24,4.609218835445513066e+27,4.610270865948213989e+27,1.052030502700923287e+24,1.069087374887103919e-31,1.069094888520451203e-31,7.513633347284247208e-37,-4.609218835445502620e+27,-4.610270865948214539e+27,-1.052030502711918403e+24
4.600000000000000000e+01,-8.888999999999999346e+00,4.603052124930371675e+27,4.604102887713126289e+27,1.050762782754614173e+24,4.603052124942039142e+27,4.604102887724788809e+27,1.050762782749666371e+24,1.098641134063657106e-31,1.098647983876084304e-31,6.849812427198380948e-37,-4.603052124942032545e+27,-4.604102887724789908e+27,-1.050762782757362952e+24
4.700000000000000000e+01,-8.885999999999999233e+00,4.596877944801006851e+27,4.597927426520890259e+27,1.049481719883408033e+24,4.596877944812668821e+27,4.597927426532552779e+27,1.049481719883957788e+24,1.128243305828890370e-31,1.128249546388947557e-31,6.240560057186566440e-37,-4.596877944812668821e+27,-4.597927426532553878e+27,-1.049481719885057300e+24
4.800000000000000000e+01,-8.882999999999999119e+00,4.590697401256539973e+27,4.591745589651193770e+27,1.048188394653797539e+24,4.590697401268201393e+27,4.591745589662855740e+27,1.048188394654347295e+24,1.157888700929680129e-31,1.157894382927261606e-31,5.681997581477775942e-37,-4.590697401268200294e+27,-4.591745589662857390e+27,-1.048188394657096074e+24
4.900000000000000000e+01,-8.880000000000000782e+00,4.584511484826844655e+27,4.585558368649875125e+27,1.046883823030469675e+24,4.584511484838498379e+27,4.585558368661537645e+27,1.046883823039265768e+24,1.187572673362059393e-31,1.187577843786661558e-31,5.170424602164911164e-37,-4.584511484838507725e+27,-4.585558368661538744e+27,-1.046883823031019431e+24
5.000000000000000000e+01,-8.877000000000000668e+00,4.578321081903247783e+27,4.579366650860180992e+27,1.045568956933208376e+24,4.578321081914913602e+27,4.579366650871843511e+27,1.045568956929909841e+24,1.217291066179172069e-31,1.217295768507941533e-31,4.702328769464105423e-37,-4.578321081914909204e+27,-4.579366650871844611e+27,-1.045568956935407399e+24
5.100000000000000000e+01,-8.874000000000000554e+00,4.572126985247965668e+27,4.573171229933561009e+27,1.044244685595341138e+24,4.572126985259623240e+27,4.573171229945223529e+27,1.044244685600288940e+24,1.247040162146234566e-31,1.247044436537150288e-31,4.274390915721972313e-37,-4.572126985259625988e+27,-4.573171229945224628e+27,-1.044244685598639673e+24
5.200000000000000000e+01,-8.871000000000000441e+00,4.565929903537599440e+27,4.566972815374989468e+27,1.042911837390027841e+24,4.565929903549240520e+27,4.566972815386651988e+27,1.042911837411468317e+24,1.276816638929170661e-31,1.276820522415898001e-31,3.883486727339835959e-37,-4.565929903549257562e+27,-4.566972815386653087e+27,-1.042911837395525399e+24
5.300000000000000000e+01,-8.868000000000000327e+00,4.559730470009163432e+27,4.560772041191276278e+27,1.041571182112846880e+24,4.559730470020826501e+27,4.560772041202938249e+27,1.041571182111747369e+24,1.306617528495648292e-31,1.306621055181106718e-31,3.526685458425531336e-37,-4.559730470020825402e+27,-4.560772041202939348e+27,-1.041571182113946392e+24
5.400000000000000000e+01,-8.865000000000000213e+00,4.553529250277054842e+27,4.554569473710562215e+27,1.040223433507373381e+24,4.553529250288707466e+27,4.554569473722224735e+27,1.040223433517268986e+24,1.336440180408100442e-31,1.336443381654482009e-31,3.201246381567137602e-37,-4.553529250288714613e+27,-4.554569473722225834e+27,-1.040223433511221672e+24
5.500000000000000000e+01,-8.862000000000000099e+00,4.547326749387641290e+27,4.548365618639696480e+27,1.038869252055189951e+24,4.547326749399293365e+27,4.548365618651358450e+27,1.038869252065085555e+24,1.366282228695521292e-31,1.366285133309040900e-31,2.904613519607610888e-37,-4.547326749399299962e+27,-4.548365618651359550e+27,-1.038869252059587997e+24
5.600000000000000000e+01,-8.858999999999999986e+00,4.541123418175836605e+27,4.542160927423647032e+27,1.037509247810427656e+24,4.541123418187493077e+27,4.542160927435309002e+27,1.037509247815925214e+24,1.396141562002634776e-31,1.396144196411709863e-31,2.634409075087656812e-37,-4.541123418187495826e+27,-4.542160927435310652e+27,-1.037509247814825702e+24
