U(V)	I(A)	T(C)
1.1460758430e+00	9.4403354140e-11	10.0283
1.1601381233e+00	3.7386821147e-11	24.6223
1.1742004036e+00	7.3492513000e-11	39.2818
1.1882626838e+00	2.4168280420e-10	36.8181
1.2023249641e+00	1.0153148140e-10	25.1238
1.2163872444e+00	3.6691076513e-11	14.4925
1.2304495247e+00	7.3603491140e-11	9.8699
1.2445118049e+00	2.4247464153e-10	24.2476
1.2585740852e+00	9.4374054667e-11	39.0048
1.2726363655e+00	3.4357988160e-11	37.1390
1.2866986458e+00	6.7592647000e-11	25.4012
1.3007609260e+00	2.3297736467e-10	14.7428
1.3148232063e+00	8.7539160800e-11	9.7225
1.3288854866e+00	3.3529244360e-11	23.8732
1.3429477668e+00	6.7092596107e-11	38.6993
1.3570100471e+00	2.2354260400e-10	37.4684
1.3710723274e+00	8.3787400200e-11	25.7049
1.3851346077e+00	3.2600618827e-11	15.0210
1.3991968879e+00	6.4637137349e-11	9.6217
1.4132591682e+00	2.1323245787e-10	23.5473
1.4273214485e+00	7.3081416933e-11	38.4163
1.4413837288e+00	3.3339662867e-11	37.7632
1.4554460090e+00	6.3885808733e-11	25.9753
1.4695082893e+00	2.1523072620e-10	15.2774
1.4835705696e+00	7.3706167333e-11	9.5143
1.4976328499e+00	2.5346538873e-11	23.1710
1.5116951301e+00	5.1805945267e-11	38.0881
1.5257574104e+00	2.6717299913e-10	38.0939
1.5398196907e+00	9.0875995407e-11	26.2438
1.5538819709e+00	2.1970370027e-11	15.5172
1.5679442512e+00	6.8631807060e-11	9.4037
1.5820065315e+00	7.4463305027e-10	22.7914
1.5960688118e+00	6.3548012000e-10	37.7411
1.6101310920e+00	1.5620829647e-10	38.3875
1.6241933723e+00	1.5936665289e-10	26.4862
1.6382556526e+00	5.3380028867e-10	15.7196
1.6523179329e+00	8.9899307200e-10	9.2729
1.6663802131e+00	2.3219583527e-10	22.3866
1.6804424934e+00	3.7871058933e-10	37.3762
1.6945047737e+00	1.7132312547e-09	38.6562
1.7085670540e+00	2.0278171807e-09	26.7324
1.7226293342e+00	7.9181083200e-10	15.9615
1.7366916145e+00	7.7082018333e-10	9.1855
1.7507538948e+00	4.7849565867e-09	22.0118
1.7648161750e+00	5.9225512933e-09	37.0463
1.7788784553e+00	3.1930728133e-09	38.9422
1.7929407356e+00	5.5323317333e-09	27.0036
1.8070030159e+00	1.6257536000e-08	16.2192
1.8210652961e+00	1.1948562487e-08	9.1334
1.8351275764e+00	2.2856300400e-09	21.6284
1.8491898567e+00	3.1528743600e-09	36.6894
1.8632521370e+00	2.7114411987e-08	39.2212
1.8773144172e+00	2.3507823333e-08	27.2837
1.8913766975e+00	9.3984992000e-09	16.4464
1.9054389778e+00	1.2388693260e-08	9.0826
1.9195012581e+00	3.5158125467e-08	21.3035
1.9335635383e+00	3.0694192267e-08	36.3948
1.9476258186e+00	1.3128769627e-08	39.4146
1.9616880989e+00	1.6617578860e-08	27.4745
1.9757503791e+00	4.7265475667e-08	16.6083
1.9898126594e+00	3.8361506333e-08	9.0047
2.0038749397e+00	1.5526437467e-08	20.8970
2.0179372200e+00	1.9975917467e-08	36.0295
2.0319995002e+00	5.6199465400e-08	39.6374
2.0460617805e+00	4.8335270067e-08	27.7121
2.0601240608e+00	2.0731434600e-08	16.8221
2.0741863411e+00	2.8010252467e-08	8.9551
2.0882486213e+00	7.0446905667e-08	20.5002
2.1023109016e+00	5.9166046333e-08	35.6708
2.1163731819e+00	2.6551181200e-08	39.8580
2.1304354622e+00	3.9671006067e-08	27.9624
2.1444977424e+00	8.2029050600e-08	17.0398
2.1585600227e+00	7.0236831000e-08	8.9258
2.1726223030e+00	3.4014445000e-08	20.0990
2.1866845833e+00	4.6849476800e-08	35.3354
2.2007468635e+00	9.8173773400e-08	40.1092
2.2148091438e+00	8.2211176333e-08	28.3145
2.2288714241e+00	4.1978642933e-08	17.3405
2.2429208920e+00	5.5894996533e-08	8.9535
2.2569491104e+00	1.0960744240e-07	19.7165
2.2710113906e+00	9.8383121133e-08	34.9839
2.2850736709e+00	5.3529734067e-08	40.2949
2.2991359512e+00	6.6039083067e-08	28.5735
2.3131982314e+00	1.1539803860e-07	17.6172
2.3272605117e+00	1.0033122540e-07	9.0304
2.3413227920e+00	5.7494870733e-08	19.3376
2.3553850723e+00	7.2934169667e-08	34.6207
2.3694473525e+00	1.2977535400e-07	40.4684
2.3835096328e+00	1.1933325220e-07	28.8199
2.3975719131e+00	6.5409480667e-08	17.7022
2.4116341934e+00	7.7033892133e-08	8.8772
2.4256964736e+00	1.4095095067e-07	18.9166
2.4397587539e+00	1.3584686307e-07	34.2796
2.4538210342e+00	7.3343802400e-08	40.6402
2.4678833145e+00	7.9789176200e-08	29.1106
2.4819455947e+00	1.4168437267e-07	18.0953
2.4960078750e+00	1.2755127713e-07	9.1069
2.5100701553e+00	7.8031375867e-08	18.5711
2.5241324355e+00	9.1245701000e-08	33.9376
2.5381947158e+00	1.4514626267e-07	40.8056
2.5522569961e+00	1.4747975467e-07	29.3996
2.5663192764e+00	8.6567770600e-08	18.3630
2.5803693693e+00	9.4847220400e-08	9.1905
2.5943969626e+00	1.5619810333e-07	18.1699
2.6084592429e+00	1.5520421813e-07	33.5792
2.6225215232e+00	8.5452851933e-08	40.9398
2.6365838035e+00	9.6601889400e-08	29.6631
2.6506460837e+00	1.4966509800e-07	18.5846
2.6647083640e+00	1.5586680533e-07	9.2449
2.6787706443e+00	8.7431174333e-08	17.7791
2.6928329246e+00	9.0277069733e-08	33.2301
2.7068952048e+00	1.5153103400e-07	41.0171
2.7209574851e+00	1.5580221053e-07	29.8794
2.7350197654e+00	8.8037374467e-08	18.7877
2.7490820457e+00	9.0934185467e-08	9.3250
2.7631443259e+00	1.4634190467e-07	17.4089
2.7772066062e+00	1.5143456667e-07	32.8947
2.7912688865e+00	8.1247000467e-08	41.1907
2.8053311667e+00	8.4338056333e-08	30.2686
2.8193934470e+00	1.4493831133e-07	19.1656
