# MAPbBr3 S2, dark   params: examples/MAPbBr3_S2.params
# Measured current-density-voltage function, from examples/VJT.dat.
# I(A) / area(7.7e-06 m2) -> J;  T(C) + 273.15 -> T(K).
# 214 rows read, 214 points written.
V(V)	J(A/m2)	T(K)
1.792941e+00	7.184846e-04	3.001536e+02
1.807003e+00	2.111368e-03	2.893692e+02
1.821065e+00	1.551761e-03	2.822834e+02
1.835128e+00	2.968351e-04	2.947784e+02
1.849190e+00	4.094642e-04	3.098394e+02
1.863252e+00	3.521352e-03	3.123712e+02
1.877314e+00	3.052964e-03	3.004337e+02
1.891377e+00	1.220584e-03	2.895964e+02
1.905439e+00	1.608921e-03	2.822326e+02
1.919501e+00	4.565990e-03	2.944535e+02
1.933564e+00	3.986259e-03	3.095448e+02
1.947626e+00	1.705035e-03	3.125646e+02
1.961688e+00	2.158127e-03	3.006245e+02
1.975750e+00	6.138373e-03	2.897583e+02
1.989813e+00	4.982014e-03	2.821547e+02
2.003875e+00	2.016420e-03	2.940470e+02
2.017937e+00	2.594275e-03	3.091795e+02
2.032000e+00	7.298632e-03	3.127874e+02
2.046062e+00	6.277308e-03	3.008621e+02
2.060124e+00	2.692394e-03	2.899721e+02
2.074186e+00	3.637695e-03	2.821051e+02
2.088249e+00	9.148949e-03	2.936502e+02
2.102311e+00	7.683902e-03	3.088208e+02
2.116373e+00	3.448205e-03	3.130080e+02
2.130435e+00	5.152079e-03	3.011124e+02
2.144498e+00	1.065312e-02	2.901898e+02
2.158560e+00	9.121666e-03	2.820758e+02
2.172622e+00	4.417460e-03	2.932490e+02
2.186685e+00	6.084348e-03	3.084854e+02
2.200747e+00	1.274984e-02	3.132592e+02
2.214809e+00	1.067678e-02	3.014645e+02
2.228871e+00	5.451772e-03	2.904905e+02
2.242921e+00	7.259090e-03	2.821035e+02
2.256949e+00	1.423473e-02	2.928665e+02
2.271011e+00	1.277703e-02	3.081339e+02
2.285074e+00	6.951914e-03	3.134449e+02
2.299136e+00	8.576504e-03	3.017235e+02
2.313198e+00	1.498676e-02	2.907672e+02
2.327261e+00	1.303003e-02	2.821804e+02
2.341323e+00	7.466866e-03	2.924876e+02
2.355385e+00	9.471970e-03	3.077707e+02
2.369447e+00	1.685394e-02	3.136184e+02
2.383510e+00	1.549782e-02	3.019699e+02
2.397572e+00	8.494738e-03	2.908522e+02
2.411634e+00	1.000440e-02	2.820272e+02
2.425696e+00	1.830532e-02	2.920666e+02
2.439759e+00	1.764245e-02	3.074296e+02
2.453821e+00	9.525169e-03	3.137902e+02
2.467883e+00	1.036223e-02	3.022606e+02
2.481946e+00	1.840057e-02	2.912453e+02
2.496008e+00	1.656510e-02	2.822569e+02
2.510070e+00	1.013394e-02	2.917211e+02
2.524132e+00	1.185009e-02	3.070876e+02
2.538195e+00	1.885016e-02	3.139556e+02
2.552257e+00	1.915321e-02	3.025496e+02
2.566319e+00	1.124257e-02	2.915130e+02
2.580369e+00	1.231782e-02	2.823405e+02
2.594397e+00	2.028547e-02	2.913199e+02
2.608459e+00	2.015639e-02	3.067292e+02
2.622522e+00	1.109777e-02	3.140898e+02
2.636584e+00	1.254570e-02	3.028131e+02
2.650646e+00	1.943703e-02	2.917346e+02
2.664708e+00	2.024244e-02	2.823949e+02
2.678771e+00	1.135470e-02	2.909291e+02
2.692833e+00	1.172429e-02	3.063801e+02
2.706895e+00	1.967936e-02	3.141671e+02
2.720957e+00	2.023405e-02	3.030294e+02
2.735020e+00	1.143343e-02	2.919377e+02
2.749082e+00	1.180963e-02	2.824750e+02
2.763144e+00	1.900544e-02	2.905589e+02
2.777207e+00	1.966683e-02	3.060447e+02
2.791269e+00	1.055156e-02	3.143407e+02
2.805331e+00	1.095299e-02	3.034186e+02
2.819393e+00	1.882316e-02	2.923156e+02
2.833456e+00	1.987753e-02	2.826952e+02
2.847518e+00	1.093669e-02	2.901664e+02
2.861580e+00	1.134103e-02	3.056875e+02
2.875643e+00	1.821645e-02	3.144388e+02
2.889705e+00	1.926493e-02	3.037117e+02
2.903767e+00	1.087790e-02	2.925820e+02
2.917829e+00	1.131505e-02	2.828317e+02
2.931892e+00	1.754376e-02	2.897576e+02
2.945954e+00	1.972869e-02	3.053311e+02
2.960016e+00	1.153088e-02	3.145044e+02
2.974079e+00	1.180268e-02	3.039514e+02
2.988141e+00	1.767569e-02	2.927815e+02
2.997563e+00	2.015339e-02	2.858689e+02
